cp012 0 
cp097 0 
cp110 0 
cp029 0 
cp055 0 
cp095 0 
cp076 0 
cp082 0 
cp006 0 
cp069 0 
cp013 0 
cp051 0 
cp045 0 
cp026 0 
cp062 0 
cp042 0 
cp048 0 
cp094 0 
cp064 0 
cp120 0 
cp015 0 
cp087 0 
cp025 0 
cp089 0 
cp031 0 
cp131 0 
cp084 0 
cp027 0 
cp134 0 
cp112 0 
cp040 0 
cp109 0 
cp002 0 
cp137 0 
cp081 0 
cp056 0 
cp127 0 
cp121 0 
cp125 0 
cp067 0 
cp138 0 
cp105 0 
cp132 0 
cp135 0 
cp079 0 
cp106 0 
cp117 0 
cp016 0 
unknown 0 
cp001 0 
cp096 0 
cp077 0 
cp049 0 
cp093 0 
cp059 0 
cp038 0 
cp030 0 
cp103 0 
cp099 0 
cp123 0 
cp122 0 
cp021 0 
cp116 0 
cp107 0 
cp071 0 
cp111 0 
cp113 0 
cp140 0 
cp070 0 
cp019 0 
cp018 0 
cp088 0 
cp054 0 
cp092 0 
cp022 0 
cp057 0 
cp129 0 
cp007 0 
cp005 0 
cp060 0 
cp115 0 
cp085 0 
cp024 0 
cp039 0 
cp023 0 
cp086 0 
cp114 0 
cp066 0 
cp044 0 
cp073 0 
cp136 0 
cp020 0 
cp043 0 
cp091 0 
cp014 0 
cp052 0 
cp083 0 
cp034 0 
cp102 0 
cp008 0 
cp098 0 
cp126 0 
cp009 0 
cp035 0 
cp119 0 
cp046 0 
cp065 0 
cp061 0 
cp074 0 
cp017 0 
cp078 0 
cp072 0 
all 0 
cp118 0 
cp075 0 
cp010 0 
cp104 0 
cp041 0 
cp058 0 
cp100 0 
cp130 0 
cp124 0 
cp033 0 
cp128 0 
cp068 0 
cp037 0 
cp011 0 
cp028 0 
cp063 0 
cp139 0 
cp004 0 
cp053 0 
cp036 0 
cp090 0 
cp080 0 
cp050 0 
cp032 0 
cp133 0 
cp003 0 
cp047 0 
cp101 0 
cp108 0 
